2022-12-02 15:51:39.9258|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 15:51:39.9258|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 15:52:27.6594|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 15:52:27.6887|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 15:52:27.6887|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 15:52:27.6887|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 15:52:27.6887|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 15:52:27.6887|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 15:54:42.8805|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 15:54:42.9038|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 15:54:42.9038|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 15:54:42.9038|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 15:54:42.9038|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 15:54:42.9038|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 15:55:05.5338|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 15:55:05.5506|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 15:55:05.5506|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 15:55:05.5506|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 15:55:05.5506|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 15:55:05.5506|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 15:57:45.1586|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 15:57:45.1752|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 15:57:45.1752|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 15:57:45.1752|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 15:57:45.1752|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 15:57:45.1752|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 15:58:34.6599|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 15:58:34.6753|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 15:58:34.6753|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 15:58:34.6753|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 15:58:34.6753|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 15:58:34.6753|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 15:59:04.2668|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 15:59:04.2906|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 15:59:04.2906|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 15:59:04.2906|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 15:59:04.2906|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 15:59:04.2906|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:00:31.3790|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:00:31.4037|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:00:31.4037|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:00:31.4037|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:00:31.4037|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:00:31.4037|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:09:51.8742|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:09:51.8985|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:09:51.8985|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:09:51.8985|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:09:51.8985|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:09:51.8985|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:12:47.0968|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:12:47.1167|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:12:47.1167|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
